license_type,dba_name,account_business_street,license_number,account_business_city,account_business_state_province,account_business_zip_postal_code,classification,full_address,lon,lat
Pharmacy,Wal-Mart Pharmacy 10-319,2015 West Foxwood Drive,2002009666,Raymore,Missouri,64083,Class A (Community/Ambulatory); Class J (Shared Services),"2015 West Foxwood Drive, Raymore, Missouri, 64083",-94.4955114,38.8099062
Pharmacy,Wal-Mart Pharmacy 10-95,407 N. State Street,2002009474,Desloge,Missouri,63601,Class A (Community/Ambulatory); Class J (Shared Services),"407 N. State Street, Desloge, Missouri, 63601",-90.51333749999999,37.8838407
Pharmacy,Wal-Mart Pharmacy 10-267,1212 South Madison,2002009455,Webb City,Missouri,64870,Class A (Community/Ambulatory); Class J (Shared Services),"1212 South Madison, Webb City, Missouri, 64870",-94.4778347,37.1341129
Pharmacy,Wal-Mart Pharmacy 10-1021,500 Warren County Center,2002009460,Warrenton,Missouri,63383,Class A (Community/Ambulatory); Class J (Shared Services),"500 Warren County Center, Warrenton, Missouri, 63383",-91.1426534,38.8234139
Pharmacy,Wal-Mart Pharmacy 10-337,1025 Walton Drive,2002009936,Fredericktown,Missouri,63645,Class A (Community/Ambulatory); Class J (Shared Services),"1025 Walton Drive, Fredericktown, Missouri, 63645",-90.31977069999999,37.5589456
Pharmacy,Wal-Mart Pharmacy 10-34,2250 East Lincoln Avenue,2002009453,Nevada,Missouri,64772,Class A (Community/Ambulatory); Class J (Shared Services),"2250 East Lincoln Avenue, Nevada, Missouri, 64772",-94.3264942,37.8321601
Pharmacy,Wal-Mart Pharmacy 10-203,937 Park Circle Drive,2002009934,Brookfield,Missouri,64628,Class A (Community/Ambulatory); Class J (Shared Services),"937 Park Circle Drive, Brookfield, Missouri, 64628",-93.0727321,39.767801
Pharmacy,Wal-Mart Pharmacy 10-109,2000 North Walnut,2002009519,Cameron,Missouri,64429,Class A (Community/Ambulatory); Class J (Shared Services),"2000 North Walnut, Cameron, Missouri, 64429",-94.2315368,39.7581058
Pharmacy,Wal-Mart Pharmacy 10-30,2025 Business HWY 60 West,2002009412,Dexter,Missouri,63841,Class A (Community/Ambulatory); Class J (Shared Services),"2025 Business HWY 60 West, Dexter, Missouri, 63841",-89.9821934,36.8063208
Pharmacy,Wal-Mart Pharmacy 10-2600,100 THF Blvd.,2002009935,Chesterfield,Missouri,63005,Class A (Community/Ambulatory); Class J (Shared Services),"100 THF Blvd., Chesterfield, Missouri, 63005",-90.6079459,38.667015
Pharmacy,Wal-Mart Pharmacy 10-99,1445 E. Central,2002009492,Union,Missouri,63084,Class A (Community/Ambulatory); Class J (Shared Services),"1445 E. Central, Union, Missouri, 63084",-90.97009489999999,38.43443449999999
Pharmacy,Wal-Mart Pharmacy 10-783,705 East Briggs Drive,2002009521,Macon,Missouri,63552,Class A (Community/Ambulatory); Class J (Shared Services),"705 East Briggs Drive, Macon, Missouri, 63552",-92.46389909999999,39.7538754
Pharmacy,Walgreens #04467,1205 Sulphur Spring Road,006435,Ballwin,Missouri,63021,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"1205 Sulphur Spring Road, Ballwin, Missouri, 63021",-90.52539569999999,38.5675847
Pharmacy,"Butler Drug Store, Inc.",222 E. Main Street,006470,Portageville,Missouri,63873,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"222 E. Main Street, Portageville, Missouri, 63873",-89.6995772,36.4257022
Pharmacy,Cole Camp Pharmacy,512 W. Main St.,006476,Cole Camp,Missouri,65325,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding),"512 W. Main St., Cole Camp, Missouri, 65325",-93.2109189,38.4607051
Pharmacy,Walgreens #04701,16105 Manchester Road,006514,Ellisville,Missouri,63011,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"16105 Manchester Road, Ellisville, Missouri, 63011",-90.5963573,38.5910579
Pharmacy,Ladue Pharmacy,9832 Clayton Road,006534,Saint Louis,Missouri,63124,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"9832 Clayton Road, Saint Louis, Missouri, 63124",-90.39093079999999,38.63748349999999
Pharmacy,Walgreens #04204,401 NE Barry Rd.,006560,Kansas City,Missouri,64155,Class A (Community/Ambulatory); Class D (Non-Sterile Compounding); Class J (Shared Services),"401 NE Barry Rd., Kansas City, Missouri, 64155",-94.5752332,39.245814
Pharmacy,Walgreens #04530,9430 Blue Ridge Blvd,006606,Kansas City,Missouri,64138,Class A (Community/Ambulatory); Class J (Shared Services),"9430 Blue Ridge Blvd, Kansas City, Missouri, 64138",-94.50861760000001,38.9533116
Pharmacy,Walgreens #04406,2630 NE Vivion Rd.,006627,Kansas City,Missouri,64119,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"2630 NE Vivion Rd., Kansas City, Missouri, 64119",-94.54814429999999,39.1875458
Pharmacy,Walgreens #05288,1525 W Kearney St,006628,Springfield,Missouri,65803,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"1525 W Kearney St, Springfield, Missouri, 65803",-93.31054730000001,37.2414256
Pharmacy,Walgreens #07901,1050 US Hwy 60 E,2004010000,Republic,Missouri,65738,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"1050 US Hwy 60 E, Republic, Missouri, 65738",-93.46237860000001,37.1259639
Pharmacy,Costco Pharmacy #382,200 Costco Way,2001009707,Saint Peters,Missouri,63376,Class A (Community/Ambulatory); Class J (Shared Services),"200 Costco Way, Saint Peters, Missouri, 63376",-90.6069863,38.7962239
Pharmacy,Wal-Mart Pharmacy 10-101,500 South Bishop,2002009447,Rolla,Missouri,65401,Class A (Community/Ambulatory); Class J (Shared Services),"500 South Bishop, Rolla, Missouri, 65401",-91.77916830000001,37.9375992
Pharmacy,Wal-Mart Pharmacy 10-0056,1309 Springfield Rd,2002009527,Ava,Missouri,65608,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"1309 Springfield Rd, Ava, Missouri, 65608",-92.67648729999999,36.959795
Pharmacy,Wal-Mart Pharmacy 10-234,8301 NO. Church Rd.,2002009530,Kansas City,Missouri,64158,Class A (Community/Ambulatory); Class J (Shared Services),"8301 NO. Church Rd., Kansas City, Missouri, 64158",-94.45920029999999,39.2431621
Pharmacy,Wal-Mart Pharmacy 10-379,2004 West Marler Lane,2002009755,Ozark,Missouri,65721,Class A (Community/Ambulatory); Class J (Shared Services),"2004 West Marler Lane, Ozark, Missouri, 65721",-93.22790359999999,37.0011745
Pharmacy,Wal-Mart Pharmacy 10-21,185 St. Robert Blvd.,2002010323,St. Robert,Missouri,65584,Class A (Community/Ambulatory); Class J (Shared Services),"185 St. Robert Blvd., St. Robert, Missouri, 65584",-92.15225509999999,37.8250898
Pharmacy,Price Chopper Pharmacy #102,1030 West 103rd Street,2002010440,Kansas City,Missouri,64114,Class A (Community/Ambulatory); Class J (Shared Services),"1030 West 103rd Street, Kansas City, Missouri, 64114",-94.6025382,38.9417947
Pharmacy,Walgreens #12114,9700 N Cedar Ave,2009009818,Kansas City,Missouri,64157,Class A (Community/Ambulatory); Class J (Shared Services),"9700 N Cedar Ave, Kansas City, Missouri, 64157",-94.45457809999999,39.2692696
Pharmacy,Parkland Pharmacy,1131 N Desloge Dr,2005028538,Desloge,Missouri,63601,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"1131 N Desloge Dr, Desloge, Missouri, 63601",-90.51546429999999,37.8811433
Pharmacy,"Scott Family Pharmacy, LLC",414 West Grand Ave.,2002014845,Campbell,Missouri,63933,Class A (Community/Ambulatory); Class C (Long-Term Care),"414 West Grand Ave., Campbell, Missouri, 63933",-90.0786167,36.4912826
Pharmacy,Walgreens #01236,13000 S US Highway 71,2006000712,Grandview,Missouri,64030,Class A (Community/Ambulatory); Class J (Shared Services),"13000 S US Highway 71, Grandview, Missouri, 64030",-94.52626169999999,38.8882088
Pharmacy,Sterling Pharmacy,"3338 NE Ralph Powell Road, Ste D",2009024844,Lees Summit,Missouri,64064,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class H (Sterile Product Compounding); Class J (Shared Services),"3338 NE Ralph Powell Road, Ste D, Lees Summit, Missouri, 64064",-94.3598377,38.9726054
Pharmacy,Sam's Pharmacy 10-8205,4512 Lemay Ferry Rd.,2006006593,Saint Louis,Missouri,63129,Class A (Community/Ambulatory); Class J (Shared Services),"4512 Lemay Ferry Rd., Saint Louis, Missouri, 63129",-90.335383,38.4973375
Pharmacy,Wal-Mart Pharmacy 10-2955,1701 West 133rd Street,2002021813,Kansas City,Missouri,64145,Class A (Community/Ambulatory); Class J (Shared Services),"1701 West 133rd Street, Kansas City, Missouri, 64145",-94.6056589,38.884702
Pharmacy,Hy-Vee Pharmacy #1303,3721 W Truman Blvd,2007028956,Jefferson City,Missouri,65109,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"3721 W Truman Blvd, Jefferson City, Missouri, 65109",-92.25361090000001,38.5879091
Pharmacy,Burrell Pharmacy,1300 E Bradford Parkway,2006010535,Springfield,Missouri,65804,Class A (Community/Ambulatory); Class C (Long-Term Care),"1300 E Bradford Parkway, Springfield, Missouri, 65804",-93.2750238,37.1460791
Pharmacy,Walgreens #12925,2301 Running Horse Rd,2009026254,Platte City,Missouri,64079,Class A (Community/Ambulatory); Class J (Shared Services),"2301 Running Horse Rd, Platte City, Missouri, 64079",-94.7637891,39.3525698
Pharmacy,Costco Pharmacy #1060,301 Highlands Blvd Dr,2009034311,Manchester,Missouri,63011,Class A (Community/Ambulatory); Class J (Shared Services),"301 Highlands Blvd Dr, Manchester, Missouri, 63011",-90.5074961,38.5977409
Pharmacy,Hy-Vee Pharmacy #1081,405 E Nifong Blvd,2009027986,Columbia,Missouri,65201,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"405 E Nifong Blvd, Columbia, Missouri, 65201",-92.3337187,38.9120923
Pharmacy,Sherri's Pharmacy Service,108 S. Main,2009029523,Grant City,Missouri,64456,Class A (Community/Ambulatory); Class C (Long-Term Care),"108 S. Main, Grant City, Missouri, 64456",-94.4142818,40.48803729999999
Pharmacy,Scotland County Pharmacy,445 East Grand Ave.,2004020933,Memphis,Missouri,63555,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding),"445 East Grand Ave., Memphis, Missouri, 63555",-92.16425129999999,40.4501848
Pharmacy,Omnicare of Kansas City,"10400 Hickman Mills Dr, Suite 200",2006009026,Kansas City,Missouri,64137,Class A (Community/Ambulatory); Class C (Long-Term Care); Class H (Sterile Product Compounding); Class J (Shared Services),"10400 Hickman Mills Dr, Suite 200, Kansas City, Missouri, 64137",-94.5301362,38.9368795
Pharmacy,Omnicare of St. Louis,345 Dunn Rd,2006009023,Florissant,Missouri,63031,Class A (Community/Ambulatory); Class C (Long-Term Care); Class G (Medical Gas); Class H (Sterile Product Compounding); Class J (Shared Services),"345 Dunn Rd, Florissant, Missouri, 63031",-90.3310681,38.7763485
Pharmacy,Sam's Pharmacy 10-6415,3536 Hammons Blvd.,2002024073,Joplin,Missouri,64804,Class A (Community/Ambulatory); Class J (Shared Services),"3536 Hammons Blvd., Joplin, Missouri, 64804",-94.4757953,37.0501358
Pharmacy,Sun Fresh Pharmacy #156,10225 North Oak Trafficway,2002025827,Kansas City,Missouri,64155,Class A (Community/Ambulatory); Class J (Shared Services),"10225 North Oak Trafficway, Kansas City, Missouri, 64155",-94.5732434,39.2788722
Pharmacy,Walgreens #11288,1010 Worley Dr,2007034174,West Plains,Missouri,65775,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"1010 Worley Dr, West Plains, Missouri, 65775",-91.8742711,36.7169377
